State,year,Annual Average Pay,County,dispensaries_cnt,Unemployment Rate,Latitude,Longitude,deaths,Population,multiple_cod,opioid_related
CA,2012,60142,Contra Costa County,4,8.9,37.919479,-121.951543,22,1079597,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
CA,2012,55506,Los Angeles County,38,10.9,34.196398,-118.261862,22,9962789,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
CA,2012,35784,Merced County,,16.3,37.194806,-120.722802,10,262305,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
CA,2012,55363,Orange County,20,7.9,33.675687,-117.777207,32,3090132,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
CA,2012,39105,Riverside County,14,11.6,33.729828,-116.002239,12,2268783,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
CA,2012,53952,Sacramento County,5,10.5,38.450011,-121.340441,14,1450121,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
CA,2012,41227,San Bernardino County,9,11.4,34.85722,-116.181197,82,2081313,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
CA,2012,54022,San Diego County,11,9.1,33.023604,-116.776117,22,3177063,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
CA,2012,83452,San Francisco County,8,,37.727239,-123.032229,19,825863,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
CA,2012,46509,Santa Barbara County,3,8.4,34.537057,-120.039973,18,431249,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
CA,2012,95921,Santa Clara County,5,7.9,37.220777,-121.690622,10,1837504,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
DC,2012,,District of Columbia,1,9,38.904103,-77.017229,24,632323,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
FL,2012,45051,Broward County,3,8,26.193535,-80.476683,33,1815137,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
FL,2012,33218,Charlotte County,,9.5,26.868933,-81.941077,13,162449,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
FL,2012,38406,Escambia County,,8.4,30.611638,-87.3389,26,302715,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
FL,2012,46893,Hillsborough County,1,7.9,27.906607,-82.349719,131,1277746,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
FL,2012,38628,Lee County,2,8.8,26.559035,-81.891994,17,645293,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
FL,2012,36998,Manatee County,,8.1,27.481682,-82.368767,13,333895,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
FL,2012,47011,Miami-Dade County,1,8.3,25.61058,-80.499137,15,2591035,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
FL,2012,39523,Okaloosa County,,6.7,30.665851,-86.594187,10,190083,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
FL,2012,42857,Orange County,,8.2,28.514435,-81.323295,24,1202234,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
FL,2012,47769,Palm Beach County,3,8.5,26.649124,-80.448374,13,1356545,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
IL,2012,57700,DuPage County,1,7.5,41.852058,-88.086038,43,927987,Heroin,TRUE
FL,2012,43960,Pinellas County,4,8,27.903122,-82.739518,12,921319,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
FL,2012,33330,Santa Rosa County,,7.5,30.701838,-87.012762,12,158512,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
FL,2012,39908,Sarasota County,1,8.4,27.184386,-82.365835,24,386147,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
FL,2012,40249,Seminole County,1,8.1,28.690092,-81.131989,27,430838,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
FL,2012,34847,Volusia County,,9.5,29.057769,-81.161792,38,496950,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
GA,2012,51477,DeKalb County,,9.4,33.770661,-84.226343,30,707089,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
GA,2012,47921,Gwinnett County,,7.8,33.959148,-84.023085,10,842046,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
HI,2012,45244,Honolulu County,,,21.461365,-158.201974,12,976372,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
IL,2012,57700,DuPage County,1,7.5,41.852058,-88.086038,11,927987,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
IN,2012,45014,Lake County,,9.1,41.472247,-87.374337,10,493618,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
IN,2012,33906,Madison County,,10,40.166203,-85.722454,24,130348,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
IN,2012,50063,Marion County,,9.2,39.782976,-86.135794,11,918977,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
AZ,2012,41919,Pima County,3,7.4,32.128523,-111.783027,29,992394,Heroin,TRUE
KY,2012,37185,Campbell County,,6.9,38.946981,-84.379583,13,90908,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
KY,2012,43233,Fayette County,,5.8,38.040676,-84.458274,12,305489,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
KY,2012,47669,Jefferson County,,7.9,38.189532,-85.657624,57,750828,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
KY,2012,32555,Whitley County,,10.7,36.758024,-84.144648,15,35499,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
LA,2012,47879,Lafayette Parish,,5,30.206507,-92.06417,32,227055,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
MA,2012,40830,Barnstable County,2,8.2,41.799014,-70.21188,16,215423,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
MA,2012,40012,Berkshire County,2,7.3,42.375314,-73.213948,11,130016,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
MA,2012,44032,Bristol County,3,8.6,41.746863,-71.090509,80,551082,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
IL,2012,42499,Kane County,1,8.9,41.939594,-88.42804,19,522487,Heroin,TRUE
MA,2012,51453,Essex County,3,7,42.642711,-70.865107,78,755618,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
MA,2012,44387,Hampden County,2,8.9,42.136198,-72.635648,59,465923,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
MA,2012,40871,Hampshire County,1,5.5,42.339459,-72.663694,10,159795,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
MA,2012,72180,Middlesex County,5,5.4,42.481711,-71.394917,92,1537215,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
MA,2012,57697,Norfolk County,4,5.8,42.17175,-71.181115,49,681845,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
MA,2012,45357,Plymouth County,2,7.1,41.987196,-70.741942,50,499759,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
MA,2012,80697,Suffolk County,1,6.2,42.33196,-71.020173,68,744426,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
MA,2012,48414,Worcester County,2,7.2,42.311693,-71.940282,71,806163,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
MI,2012,40343,Genesee County,,10,43.021077,-83.706372,31,418408,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
MI,2012,41157,Jackson County,,8.5,42.248474,-84.420868,18,160309,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
MI,2012,49572,Macomb County,4,9.8,42.671467,-82.910869,103,847383,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
CA,2012,42783,Kern County,3,13.1,35.346629,-118.729506,11,856158,Heroin,TRUE
MI,2012,54840,Oakland County,2,8.2,42.660452,-83.38421,150,1220657,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
MI,2012,39205,Saginaw County,,9.2,43.328267,-84.05541,22,198353,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
MI,2012,39076,St. Clair County,,11.8,42.928803,-82.668913,10,160644,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
MI,2012,51278,Washtenaw County,,6,42.252327,-83.844634,15,350946,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
MI,2012,53454,Wayne County,2,11.7,42.284664,-83.261953,22,1792365,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
MN,2012,45610,Anoka County,,5.9,45.27411,-93.242723,14,336414,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
MN,2012,62061,Hennepin County,,5.2,45.006121,-93.475228,45,1184576,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
MO,2012,52404,St. Louis County,,6.5,38.640702,-90.445954,12,1000438,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
NV,2012,43096,Clark County,15,11.3,36.214257,-115.013812,33,2000759,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
IL,2012,39914,Madison County,,8.8,38.827082,-89.900195,15,267883,Heroin,TRUE
NV,2012,46584,Nye County,,14.5,37.965864,-116.459011,10,42963,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
NH,2012,53544,Hillsborough County,,5.8,42.911532,-71.723055,39,402922,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
NH,2012,47163,Rockingham County,,5.8,42.988599,-71.099072,26,297820,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
NJ,2012,61818,Essex County,,10.7,40.7874,-74.246292,17,787744,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
NJ,2012,68520,Hudson County,,8.9,40.731375,-74.078601,14,652302,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
NJ,2012,60211,Middlesex County,,8.6,40.439613,-74.407579,44,823041,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
NJ,2012,49341,Monmouth County,,8.7,40.287048,-74.152446,21,629384,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
NJ,2012,73065,Morris County,,7.1,40.858581,-74.547427,10,497999,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
NJ,2012,49164,Passaic County,,11.1,41.03789,-74.29828,11,502885,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
NJ,2012,61976,Union County,,9.4,40.659871,-74.308696,11,543976,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
NY,2012,46219,Bronx County,1,12.4,40.848711,-73.852939,110,1408473,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
NY,2012,39667,Kings County,2,9.8,40.635045,-73.95064,126,2565635,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
NY,2012,54827,Nassau County,1,7,40.729612,-73.589414,47,1349233,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
NY,2012,101880,New York County,5,8,40.776642,-73.970187,73,1619090,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
NY,2012,41221,Orange County,,7.9,41.40241,-74.306252,28,374512,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
NY,2012,45662,Queens County,1,8.3,40.658566,-73.838017,59,2272771,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
NY,2012,41274,Richmond County,,9.5,40.561263,-74.1399,58,470728,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
NY,2012,52922,Rockland County,,7.3,41.154639,-74.024645,15,317757,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
NY,2012,53288,Suffolk County,,7.8,40.943554,-72.692218,90,1499273,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
OH,2012,42441,Butler County,,7.7,39.439747,-84.565734,32,370589,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
IL,2012,39277,St. Clair County,,9.6,38.470198,-89.928546,18,268858,Heroin,TRUE
OH,2012,35333,Clark County,,7.8,39.917032,-83.783676,14,137206,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
OH,2012,54300,Hamilton County,1,7.4,39.196927,-84.544187,24,802038,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
OH,2012,42909,Lucas County,1,8.3,41.682321,-83.468903,50,437998,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
OH,2012,42649,Montgomery County,1,8.2,39.753736,-84.290591,11,534325,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
OH,2012,44282,Summit County,1,7.5,41.121851,-81.534936,12,540811,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
OK,2012,46481,Oklahoma County,,4.8,35.554611,-97.409401,13,741781,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
OR,2012,38078,Marion County,1,10,44.900898,-122.57626,17,319985,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
PA,2012,44450,Cumberland County,,6.2,40.164805,-77.263442,10,238614,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
PA,2012,58252,Philadelphia County,1,,40.009376,-75.133346,130,1547607,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
RI,2012,43156,Kent County,,10,41.668949,-71.577634,14,164843,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
CA,2012,55506,Los Angeles County,38,10.9,34.196398,-118.261862,112,9962789,Heroin,TRUE
RI,2012,48721,Providence County,1,11,41.869765,-71.578626,47,628323,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
SC,2012,34909,Anderson County,,8.9,34.521235,-82.638603,16,189355,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
TX,2012,47407,Brazoria County,,6.7,29.167817,-95.434647,12,324769,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
TX,2012,59549,Dallas County,,7.1,32.766987,-96.778424,11,2453843,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
TX,2012,34757,El Paso County,,8.5,31.766403,-106.24139,38,827398,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
TX,2012,44038,Galveston County,,7.6,29.228366,-94.895426,15,300484,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
TX,2012,64823,Harris County,,6.6,29.857273,-95.393037,100,4253700,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
TX,2012,43037,Nueces County,,6.6,27.738737,-97.51866,23,347691,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
VA,2012,77744,Fairfax County,,4.5,38.82952,-77.273252,13,1118602,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
WA,2012,65823,King County,3,6.3,47.490599,-121.833996,16,2007440,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
IL,2012,42492,Will County,2,9.8,41.448474,-87.978456,20,682518,Heroin,TRUE
WA,2012,52466,Snohomish County,,7.5,48.054913,-121.766412,22,733036,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
WV,2012,38730,Berkeley County,,6.7,39.448054,-78.037776,10,107098,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
WV,2012,38513,Cabell County,,6.5,38.419578,-82.243397,13,96974,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
WV,2012,42532,Kanawha County,,6.6,38.328068,-81.523516,31,192179,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
WV,2012,33837,Mercer County,,8.4,37.403448,-81.106456,15,62523,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
WV,2012,50132,Mingo County,,9.7,37.721161,-82.158989,11,26103,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
WV,2012,39602,Raleigh County,,7.3,37.76247,-81.264671,24,79021,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
WI,2012,46876,Dane County,,4.9,43.067468,-89.417852,44,503523,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",FALSE
IL,2012,57987,Cook County,6,9.6,41.894294,-87.645455,15,5231351,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, dependence syndrome",FALSE
CA,2012,55363,Orange County,20,7.9,33.675687,-117.777207,34,3090132,Heroin,TRUE
AK,2012,52969,Anchorage Borough,,,61.17425,-149.284329,47,298610,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder",FALSE
AK,2012,43878,Kenai Peninsula Borough,,8.6,60.366668,-152.322283,10,56900,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder",FALSE
AK,2012,38337,Matanuska-Susitna Borough,,8.7,62.279075,-149.617562,19,93925,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder",FALSE
AZ,2012,48112,Maricopa County,32,7.3,33.346541,-112.495534,20,3942169,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder",FALSE
CA,2012,55506,Los Angeles County,38,10.9,34.196398,-118.261862,25,9962789,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder",FALSE
CA,2012,95921,Santa Clara County,5,7.9,37.220777,-121.690622,11,1837504,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder",FALSE
CT,2012,83318,Fairfield County,3,7.8,41.227413,-73.367061,11,933835,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder",FALSE
